,Symbol,Output_diviation_value
107,300782.0,-0.04851629057066198
108,600027.0,-0.3939168119395866
109,600031.0,1.6385444062304515
110,600099.0,-4.339003534641573
111,600151.0,-0.4758324867569179
112,600171.0,-0.438842979237303
113,600178.0,-2.4810697141441693
114,600206.0,-1.6496509203838325
115,600288.0,-1.2691260814655578
116,600320.0,-1.2351787903633333
117,600392.0,-0.6483824553056348
118,600438.0,-0.23321134900864848
119,600460.0,-1.5765555991930906
120,600475.0,-0.38465643432490815
121,600487.0,-0.23835356144979158
122,600537.0,-1.2260434787429801
123,600545.0,-0.07024495533906716
124,600560.0,-2.1203671311084076
125,600587.0,0.2479042789364172
126,600588.0,0.5725532745461308
127,600590.0,-0.5406742660700452
128,600699.0,0.08941537476681383
129,600761.0,-0.42835607655575814
130,600808.0,-0.28703087218838874
131,600815.0,0.562046715702591
132,600841.0,-1.581147866455023
133,600853.0,-0.6203229239157757
134,600862.0,-0.4840810720448836
135,600875.0,0.42325771541189816
136,600877.0,-1.6115463549447941
137,600879.0,-0.9118695602773457
138,600890.0,-1.8671939778934474
139,600893.0,-0.698793862939894
140,601012.0,0.6346426248250019
141,601558.0,-1.4352915318607682
142,601727.0,1.3650546755413284
143,603005.0,-2.2089656455193616
144,603011.0,-2.8122095299819545
145,603015.0,-2.2572730681426005
146,603023.0,-2.9509297057546258
147,603025.0,-0.7074868778442012
148,603100.0,-0.5960541464045992
149,603109.0,-1.619929230338327
150,603158.0,-1.8023165962234309
151,603160.0,1.1362136476670166
152,603178.0,-1.09263026300016
153,603185.0,-1.3117786638965647
154,603203.0,-1.137513565658045
155,603218.0,-0.801985861911044
156,603286.0,-2.6681488525924415
157,603298.0,-0.355199294340693
158,603338.0,0.0456514172061091
159,603501.0,-0.11975306773369354
160,603556.0,-0.31658202314105566
161,603586.0,-1.2862473618013937
162,603656.0,-1.9867102518389492
163,603766.0,-0.3653295166476802
164,603819.0,-1.9848438912714617
165,603960.0,-1.6217515687868556
166,603966.0,-1.409125917264615
167,603986.0,-0.3611346583175994
168,688002.0,-1.3356762038251997
169,688008.0,0.8050321021216922
170,688111.0,-0.01057461425355033
171,688123.0,-1.2402412065948472
172,688368.0,-1.3975028595163508
